feature,count,min,p25,median,p75,max,mean,std
f00,11209,0.2,1.0,1.0,1.0,1.0,0.8851637077348559,0.28050251298501705
f01,11209,0.5,0.5,0.5,0.5,0.5,0.5,0.0
f02,11209,0.0,0.19348832938792088,0.39169181442540274,0.4404372588981815,0.9193675623362616,0.35362897622446066,0.22250181918725634
f03,11209,0.0,0.5,0.5,0.5,0.5,0.42822731733428493,0.17531407061563567
f04,11209,0.25,0.25,0.25,0.3,0.3,0.2702515835489339,0.02454490866161951
f05,11209,0.45,0.45,0.45,0.5,0.5,0.4702515835489339,0.02454490866161951
f06,11209,0.0,0.0,0.5,0.5,0.5,0.29748416451066106,0.24544908661619516
f07,11209,0.3,0.3,0.5,0.5,0.5,0.41899366580426445,0.09817963464647807
f08,11209,0.2,0.2,0.2,0.25,0.25,0.2202515835489339,0.02454490866161951
f09,11209,0.05,0.05,0.05,0.05,0.05,0.05,0.0
f10,11209,0.2,0.2,0.2,0.6,0.6,0.30969756445713265,0.17845299138716134
f11,11209,0.15,0.15,0.15,0.4,0.4,0.25125791774466943,0.1227245433080976
f12,11209,0.2,0.2,0.2,0.3,0.8,0.28354001248996347,0.15130594918317297
f13,11209,0.0,0.004,0.025,0.037109375,1.0,0.09025384596083504,0.20268056289214098
f14,11209,0.95,0.95,0.95,0.95,0.95,0.95,0.0
f15,11209,0.0,0.0,1.0,1.0,1.0,0.5949683290213221,0.4908981732323903
f16,11209,0.0,0.0,0.0,1.0,1.0,0.40503167097867787,0.4908981732323903
f17,11209,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f18,11209,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f19,11209,0.0,0.0,0.2,0.2,1.0,0.17637612632705862,0.24809100719306082
f20,11209,0.0,0.0,0.6,0.6,0.6,0.35698099741279327,0.29453890393943416
f21,11209,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f22,11209,0.0,0.0,0.2,0.2,0.2,0.11899366580426445,0.09817963464647807
f23,11209,0.0,0.0,0.5,0.5,0.5,0.29748416451066106,0.24544908661619516
f24,11209,0.0,0.0,0.0,0.01318359375,1.0,0.03296980941654028,0.15296494425819088
f25,11209,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f26,11209,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f27,11209,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f28,11209,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f29,11209,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f30,11209,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f31,11209,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f32,11209,0.0,0.0,0.0,0.0,0.0,0.0,0.0
