attack_class,feature,mqtt_count,coap_count,kl_mqtt_to_coap,kl_coap_to_mqtt,kl_symmetric
benign,f00,1781,1540,1.8401569161690263,0.07943462006512747,0.9597957681170769
benign,f01,1781,1540,0.0,0.0,0.0
benign,f02,1781,1540,4.741187374163369,10.510783233801826,7.625985303982597
benign,f03,1781,1540,1.8401569161690263,0.07943462006512747,0.9597957681170769
benign,f04,1781,1540,27.631021115929553,27.631021115929553,27.631021115929553
benign,f05,1781,1540,27.631021115929553,27.631021115929553,27.631021115929553
benign,f06,1781,1540,27.631021115929553,27.631021115929553,27.631021115929553
benign,f07,1781,1540,27.631021115929553,27.631021115929553,27.631021115929553
benign,f08,1781,1540,27.631021115929553,27.631021115929553,27.631021115929553
benign,f09,1781,1540,0.0,0.0,0.0
benign,f10,1781,1540,0.5310282900708321,0.9590285009699056,0.7450283955203688
benign,f11,1781,1540,27.631021115929553,27.631021115929553,27.631021115929553
benign,f12,1781,1540,27.46890222546768,27.631021115905227,27.549961670686454
benign,f13,1781,1540,0.06820793759535049,0.0033745813376562144,0.03579125946650335
benign,f14,1781,1540,0.0,0.0,0.0
flood,f00,1518,1500,8.680335096182096,0.41141160726924914,4.545873351725673
flood,f01,1518,1500,0.0,0.0,0.0
flood,f02,1518,1500,26.073234264804697,26.937873935294604,26.50555410004965
flood,f03,1518,1500,8.680335096182096,0.41141160726924914,4.545873351725673
flood,f04,1518,1500,27.631021115929553,27.631021115929553,27.631021115929553
flood,f05,1518,1500,27.631021115929553,27.631021115929553,27.631021115929553
flood,f06,1518,1500,27.631021115929553,27.631021115929553,27.631021115929553
flood,f07,1518,1500,27.631021115929553,27.631021115929553,27.631021115929553
flood,f08,1518,1500,27.631021115929553,27.631021115929553,27.631021115929553
flood,f09,1518,1500,0.0,0.0,0.0
flood,f10,1518,1500,0.23941928069366658,0.2891865336042815,0.26430290714897403
flood,f11,1518,1500,27.631021115929553,27.631021115929553,27.631021115929553
flood,f12,1518,1500,27.17729321609052,27.631021115903888,27.404157165997205
flood,f13,1518,1500,4.782301841599382,13.214711334833513,8.998506588216447
flood,f14,1518,1500,0.0,0.0,0.0
protocol_abuse,f00,1765,1500,8.584001358999995,0.4060318408821968,4.495016599941096
protocol_abuse,f01,1765,1500,0.0,0.0,0.0
protocol_abuse,f02,1765,1500,25.123533054495592,14.865824338668466,19.994678696582028
protocol_abuse,f03,1765,1500,8.584001358999995,0.4060318408821968,4.495016599941096
protocol_abuse,f04,1765,1500,27.631021115929553,27.631021115929553,27.631021115929553
protocol_abuse,f05,1765,1500,27.631021115929553,27.631021115929553,27.631021115929553
protocol_abuse,f06,1765,1500,27.631021115929553,27.631021115929553,27.631021115929553
protocol_abuse,f07,1765,1500,27.631021115929553,27.631021115929553,27.631021115929553
protocol_abuse,f08,1765,1500,27.631021115929553,27.631021115929553,27.631021115929553
protocol_abuse,f09,1765,1500,0.0,0.0,0.0
protocol_abuse,f10,1765,1500,0.2427379809382982,0.29412004483637877,0.2684290128873385
protocol_abuse,f11,1765,1500,27.631021115929553,27.631021115929553,27.631021115929553
protocol_abuse,f12,1765,1500,27.18061191633515,27.631021115903895,27.405816516119522
protocol_abuse,f13,1765,1500,4.401319750278927,13.206715204684592,8.804017477481759
protocol_abuse,f14,1765,1500,0.0,0.0,0.0
