feature_set,model,split,accuracy,f1_macro,f1_weighted
normalized_plus_pid,random_forest,cross_coap_to_mqtt,0.26705653021442494,0.08994949494949495,0.1201080000787603
full,random_forest,cross_coap_to_mqtt,0.26705653021442494,0.08994949494949495,0.1201080000787603
normalized,random_forest,cross_coap_to_mqtt,0.2666066876593192,0.08983200707338639,0.11995112055608124
normalized,hist_gb,cross_coap_to_mqtt,0.26495726495726496,0.07840788072417465,0.12563601940598745
normalized_plus_pid,hist_gb,cross_coap_to_mqtt,0.26495726495726496,0.07840788072417465,0.12563601940598745
full,hist_gb,cross_coap_to_mqtt,0.26495726495726496,0.07840788072417465,0.12563601940598745
normalized,logreg,cross_coap_to_mqtt,0.04078572499625131,0.01716196605464067,0.027499290637260494
normalized_plus_pid,logreg,cross_coap_to_mqtt,0.04078572499625131,0.01716196605464067,0.027499290637260494
full,logreg,cross_coap_to_mqtt,0.04078572499625131,0.01716196605464067,0.027499290637260494
normalized,logreg,cross_mqtt_to_coap,0.2526431718061674,0.09293092971440145,0.15761413189446943
normalized_plus_pid,logreg,cross_mqtt_to_coap,0.2526431718061674,0.09293092971440145,0.15761413189446943
full,logreg,cross_mqtt_to_coap,0.2526431718061674,0.09293092971440145,0.15761413189446943
normalized,random_forest,cross_mqtt_to_coap,0.04162995594713657,0.025413473174667203,0.05172257535989536
normalized,hist_gb,cross_mqtt_to_coap,0.04162995594713657,0.025413473174667203,0.05172257535989536
normalized_plus_pid,random_forest,cross_mqtt_to_coap,0.04162995594713657,0.025413473174667203,0.05172257535989536
normalized_plus_pid,hist_gb,cross_mqtt_to_coap,0.04162995594713657,0.025413473174667203,0.05172257535989536
full,random_forest,cross_mqtt_to_coap,0.04162995594713657,0.025413473174667203,0.05172257535989536
full,hist_gb,cross_mqtt_to_coap,0.04162995594713657,0.025413473174667203,0.05172257535989536
normalized,random_forest,grouped_cv,0.7792056535279658,0.596929582943564,0.8118450220774431
normalized_plus_pid,random_forest,grouped_cv,0.7792056535279658,0.596929582943564,0.8118450220774431
full,random_forest,grouped_cv,0.7792056535279658,0.596929582943564,0.8118450220774431
normalized,hist_gb,grouped_cv,0.7371700525266192,0.5720800393929582,0.7781030030267584
normalized_plus_pid,hist_gb,grouped_cv,0.7371700525266192,0.5720800393929582,0.7781030030267584
full,hist_gb,grouped_cv,0.7371700525266192,0.5720800393929582,0.7781030030267584
normalized_plus_pid,logreg,grouped_cv,0.5388439404316095,0.3894363123024574,0.5455579710358365
normalized,logreg,grouped_cv,0.5388439404316095,0.3894217869371123,0.5455332252795755
full,logreg,grouped_cv,0.5370142519533713,0.387725688838395,0.5432017331433447
